乗車駅名,降車駅名,定期人員,定期外人員
粟生,押部谷,528.0207556,616.1842137
粟生,緑が丘,4568.357353,4722.950429
粟生,広野ゴルフ,945.4560323,859.5769781
粟生,志染,20674.41268,5372.356113
粟生,恵比須,2569.701011,2434.531746
粟生,三木上の丸,670.3567854,1182.486848
粟生,三木,4354.215602,3605.935169
粟生,大村,8128.076023,3651.797619
粟生,樫山,713.8058363,1214.559635
粟生,市場,55.86306545,974.5770727
粟生,小野,68805.54576,17156.16602
粟生,葉多,11563.65455,5154.429851
粟生,粟生,,
